period;cap_factor;demand;week
25;0,78;335,264078;1
26;0,71;246,466019;1
27;0,63;188,109709;1
28;0,6;155,250162;1
29;0,59;140,926861;1
30;0,57;148,619741;1
31;0,55;246,173139;1
32;0,52;364,790291;1
33;0,51;495,066343;1
34;0,45;578,446278;1
35;0,41;649,909709;1
36;0,4;665,874434;1
37;0,39;656,227508;1
38;0,38;624,9411;1
39;0,39;561,195469;1
40;0,46;543,830744;1
41;0,55;549,013592;1
42;0,63;587,488026;1
43;0,69;703,365049;1
44;0,72;712,709385;1
45;0,73;695,458576;1
46;0,71;685,924919;1
47;0,66;605,571521;1
48;0,61;599,064401;1
49;0,55;483,452104;1
50;0,5;383,619417;1
51;0,45;318,046602;1
52;0,46;275,772492;1
53;0,5;249,10356;1
54;0,53;251,997735;1
55;0,55;314,310032;1
56;0,54;415,416828;1
57;0,54;549,921683;1
58;0,47;627,135275;1
59;0,39;689,934951;1
60;0,32;696,74466;1
61;0,25;682,293204;1
62;0,18;645,180583;1
63;0,1;586,466667;1
64;0,06;571,220712;1
65;0,09;563,16246;1
66;0,16;607,31165;1
67;0,27;732,192557;1
68;0,39;750,276052;1
69;0,51;731,171197;1
70;0,61;705,824272;1
71;0,69;632,280259;1
72;0,74;618,169256;1
73;0,77;509,70712;1
74;0,79;398,785437;1
75;0,82;326,179288;1
76;0,83;285,223625;1
77;0,85;256,173786;1
78;0,86;258,188673;1
79;0,88;318,120065;1
80;0,9;424,904854;1
81;0,92;566,52945;1
82;0,94;644,915858;1
83;0,95;705,029773;1
84;0,96;718,611327;1
85;0,97;699,998058;1
86;0,98;657,929773;1
87;0,97;589,341748;1
88;0,97;578,938188;1
89;0,97;582,267314;1
90;0,98;616,391262;1
91;0,97;728,63657;1
92;0,96;737,33754;1
93;0,94;726,971845;1
94;0,93;710,28835;1
95;0,93;639,695146;1
96;0,93;627,021683;1
97;0,9;531,687055;1
98;0,86;419,189968;1
99;0,8;347,426214;1
100;0,76;296,030421;1
101;0,72;273,061489;1
102;0,68;267,530097;1
103;0,67;319,805178;1
104;0,7;427,045631;1
105;0,73;556,201618;1
106;0,74;622,368608;1
107;0,72;675,861812;1
108;0,69;677,526537;1
109;0,65;651,347249;1
110;0,61;612,797087;1
111;0,59;541,371845;1
112;0,56;510,463754;1
113;0,56;504,902589;1
114;0,6;523,628803;1
115;0,68;605,041748;1
116;0,75;590,552427;1
117;0,79;572,960841;1
118;0,83;574,549838;1
119;0,85;535,545631;1
120;0,87;568,156311;1
121;0,88;501,384142;1
122;0,89;410,361489;1
123;0,9;322,406149;1
124;0,9;257,419417;1
125;0,9;211,335275;1
126;0,9;187,230744;1
127;0,9;173,163754;1
128;0,9;152,539482;1
129;0,89;162,320388;1
130;0,88;213,716181;1
131;0,87;293,502589;1
132;0,86;329,988997;1
133;0,85;334,568285;1
134;0,81;331,564401;1
135;0,74;306,946926;1
136;0,67;263,133981;1
137;0,61;249,946278;1
138;0,53;277,347573;1
139;0,47;401,423301;1
140;0,43;459,542718;1
141;0,44;497,336246;1
142;0,46;517,197735;1
143;0,46;495,482524;1
144;0,47;524,91521;1
145;0,46;443,653722;1
146;0,43;334,897735;1
147;0,39;257,126214;1
148;0,37;204,48479;1
149;0,37;170,562783;1
150;0,37;148,106796;1
151;0,37;141,879288;1
152;0,37;131,072492;1
153;0,38;142,977994;1
154;0,37;192,615858;1
155;0,37;276,285113;1
156;0,4;323,688026;1
157;0,42;339,183819;1
158;0,41;356,694498;1
159;0,41;354,349838;1
160;0,49;325,153398;1
161;0,61;307,203236;1
162;0,67;334,01877;1
163;0,7;470,854369;1
164;0,69;538,307443;1
165;0,65;579,694822;1
166;0,56;597,475405;1
167;0,47;535,886084;1
168;0,41;514,435922;1
169;0,36;398,382524;2
